read_core_id	read_align_strand	rna_strand	read_length	primer_type	genome_align_start	genome_align_end	primer_score	polyA_type	f_primer_type	f_primer_start	f_align_end	r_primer_type	r_primer_start	r_align_start
50409d5f-7a20-4f31-b115-c94426bfb22d,chr3,6552011,6557938	+	-	687	R-F	432	645	1	T	R	1	409	F	1	646
a2125681-fafb-4df2-8a71-0d99506e844f,chr3,6553468,6557938	+	-	3985	R-UF	99	3938	2	T	R	1	50	UF	4	3943
c618ca54-9ff1-4db9-bc2a-0fa9b4c54923,chr3,6553468,6557928	-	-	5073	UF-N	1196	4992	5	A	UF	12	1182	N	-1	4971
ef7045da-232d-4286-8b66-16a08f85aa7e,chr3,6553541,6554178	-	-	1469	R-R	749	1384	5	A	R	1	49	R	1	1432
97d96fd0-2992-4527-81f1-a63f8f5f341e,chr3,6553559,6564419	-	+	2354	F-F	60	1831	5	T	F	1	58	F	1	2311
6ba3fdd5-cb91-431f-8e9c-6e30dadbba58,chr3,6554748,6564419	-	-	580	F-R	62	567	1	A	F	1	60	R	5	548
82718f67-0bf4-4428-b0af-633a7dcf3f2a,chr3,6554748,6557938	-	-	1439	F-N	59	1426	5	A	F	1	58	N	-1	1405
e2307c76-85fc-4e37-b63e-a56ad74c4502,chr3,6554748,6564424	-	-	584	F-R	56	571	1	A	F	1	56	R	6	552
1833bf70-40a4-4dae-aebc-686a51cc149d,chr3,6555032,6557938	-	-	2517	F-R	58	2449	1	A	F	1	57	R	1	2489
c6cf7533-5a81-488d-bb60-4a52210a9ee6,chr3,6555032,6557936	-	-	2533	F-R	62	2450	1	A	F	1	58	R	1	2497
ac4fcdce-e475-49a4-b82b-935f736caf1d,chr3,6555444,6556664	-	-	577	F-R	58	526	1	A	F	1	57	R	1	544
3db731de-4e99-4179-ae9f-28a75f895184,chr3,6555496,6557923	+	-	4367	R-F	136	2527	1	T	R	2	49	F	1	2533
640711b4-03cd-445f-b04e-2ae841140bd0,chr3,6555496,6556275	-	-	911	F-R	57	819	1	A	F	1	56	R	1	879
aecd9c92-01d7-4364-8f27-958cbcd2cdb8,chr3,6555496,6556275	-	-	924	F-R	59	837	1	A	F	1	58	R	1	889
320512ff-8639-4731-8ca0-ea632f605ec6,chr3,6555503,6557938	+	-	2070	R-F	116	2024	1	T	R	8	42	F	1	2025
92185214-ca73-4b84-8d28-4493aff194f0,chr3,6555503,6557948	+	-	2014	N-UF	112	1982	5	T	N	-1	133	UF	10	1978
c4df050f-7685-46c2-ab81-21fbf2a44edb,chr3,6555503,6557938	+	-	2053	R-F	96	2011	1	T	R	1	49	F	1	2012
00d322d1-a997-4bfb-bc7d-9b50fe4b6319,chr3,6555503,6557934	-	-	2055	N-R	63	1971	2	A	N	-1	84	R	1	2019
c4d3fa0f-f1f8-4e2d-b9d1-d954cfd646ba,chr3,6555503,6557938	-	-	2050	UF-R	60	1967	2	A	UF	8	51	R	1	2013
c4eae37c-dd98-4b64-9179-384125814624,chr3,6555503,6557938	-	-	2060	F-R	59	1974	1	A	F	1	58	R	1	2025
a63832a2-3e57-4c55-a846-9a6045595e30,chr3,6555506,6557938	+	-	2019	R-F	120	1977	1	T	R	1	49	F	1	1978
cb387a9b-bab0-43d4-a6be-2ba38375c62b,chr3,6555527,6557938	+	-	2082	R-F	143	2040	1	T	R	1	51	F	1	2041
416bf19b-03b9-48c5-abce-8ca8d60aa398,chr3,6555585,6557918	+	-	2342	R-F	98	2302	1	T	R	7	43	F	1	2303
693cf6a9-252b-48ed-ac47-a014f5e7befd,chr3,6555913,6556317	+	-	499	N-F	57	456	5	T	N	-1	78	F	1	456
8e864ca2-d907-47dc-ab04-257cfcd0a3b8,chr3,6555919,6556354	+	-	561	R-F	88	515	1	T	R	3	48	F	1	516
6f86b453-18ba-46c0-aa89-9bd4b8470153,chr3,6555921,6557880	+	-	1717	R-F	102	1667	1	T	R	1	47	F	1	1674
fd1e7428-9ca3-4f6a-94f2-9c696f25398b,chr3,6555926,6556354	+	-	573	R-F	104	529	1	T	R	2	43	F	1	530
0234b07e-392a-4b9e-a137-3e676d7bc8bb,chr3,6555930,6557883	-	-	1698	F-R	58	1599	1	A	F	1	57	R	1	1660
5349f247-cccf-4aa8-a530-cf9127b3f2b6,chr3,6555930,6557885	-	-	1575	N-R	60	1485	2	A	N	-1	81	R	1	1535
31520bd7-79a2-4f2a-a1b5-437c840bc724,chr3,6555939,6557938	+	-	1634	R-F	103	1589	1	T	R	1	48	F	1	1591
849983a1-3225-4328-a977-606b699a1e8f,chr3,6555939,6557938	+	-	1578	R-F	94	1539	1	T	R	6	43	F	1	1540
50e358c0-8663-4528-9048-7e8a1a03fce6,chr3,6555939,6557937	-	-	1647	UF-R	60	1542	2	A	UF	15	45	R	1	1614
b7b672a3-1769-42d1-9d26-0ca23018d2cd,chr3,6555939,6557938	-	-	1732	F-N	62	1631	5	A	F	1	60	N	-1	1610
de8154b7-db83-43de-a8d1-fe689d52371a,chr3,6555939,6557938	-	-	1639	F-N	59	1532	5	A	F	1	57	N	-1	1511
83ec5f37-4b1d-453f-abcc-d288604c3c46,chr3,6555942,6557935	-	-	2019	F-R	64	1935	1	A	F	1	60	R	1	1986
684a21bf-aedb-4d31-b9e4-09e0a8985fb1,chr3,6555944,6557815	-	-	670	UF-R	190	585	2	A	UF	3	45	R	1	637
ed20127a-43b1-4c35-acf7-0061cf5c54d5,chr3,6555944,6556621	-	-	811	UF-R	64	731	2	A	UF	15	43	R	4	781
756611f1-0652-48e1-a38c-54a5a36d0194,chr3,6555950,6557938	+	-	2013	R-F	106	1993	1	T	R	1	49	F	1	1995
09d4660e-012a-4425-8479-d2814387780b,chr3,6555964,6556353	+	-	574	N-F	162	552	5	T	N	-1	183	F	1	553
8b2c8f3d-7c7e-47a0-ada1-41fa3d7abb37,chr3,6555964,6556353	+	-	1293	R-F	851	1246	1	T	R	8	813	F	1	1247
56d0834d-40fb-4a8b-83f3-d42904e54212,chr3,6556001,6557935	-	-	1668	UF-R	59	1581	2	A	UF	2	56	R	1	1634
d035cca9-da8b-4a61-9830-903d4514a519,chr3,6556001,6557938	-	-	1661	F-R	61	1590	1	A	F	1	60	R	1	1623
d77bceb7-449f-4f50-8809-f21a5a4df8ee,chr3,6556031,6556859	+	-	945	R-F	184	901	1	T	R	1	51	F	1	902
9eab4e20-938c-480d-aed6-f152f90ebe34,chr3,6556031,6556859	-	-	868	F-R	59	771	1	A	F	1	58	R	1	833
d2c3b618-f445-4a4e-98a6-c3b0815e6bd2,chr3,6556031,6556859	-	-	865	UF-R	54	766	2	A	UF	15	38	R	1	828
c3187973-c607-4281-a1a0-d0e62eb91be1,chr3,6556044,6556231	-	-	755	F-R	59	245	1	A	F	1	58	R	1	720
d046f2d8-c2b4-4794-afd9-a9ffcdb911ff,chr3,6556046,6556231	+	-	748	R-F	516	701	1	T	R	1	48	F	1	702
77a1d06a-fd94-48a5-897e-60e609a98da7,chr3,6556062,6557937	-	-	1661	UF-R	60	1519	2	A	UF	6	53	R	1	1623
518bda6c-8888-4336-8d6a-9d67fe10f10b,chr3,6556063,6556790	+	-	742	N-F	85	700	5	T	N	-1	106	F	1	701
a8612e60-b556-4d04-9144-657f89dc1a99,chr3,6556064,6557938	+	-	1535	R-F	154	1515	1	T	R	1	48	F	1	1517
0357479a-29db-413b-be23-75f6db75cd0e,chr3,6556064,6557937	-	-	1444	UF-R	64	1336	2	A	UF	3	57	R	1	1408
4c8ac4b8-a4b4-433c-8b36-ff78925a9187,chr3,6556065,6557106	+	-	1206	R-N	133	1167	2	T	R	1	54	N	-1	1146
fdaa17a3-7b8d-4ac4-b886-73e6b67d183f,chr3,6556065,6557105	-	-	2037	UF-R	930	1955	2	A	UF	7	923	R	1	2004
47e419ce-cfa0-40b2-a827-72b38ebd27f4,chr3,6556067,6557938	+	-	1463	R-UF	95	1416	2	T	R	8	41	UF	3	1419
537fb009-279f-4812-8378-6c8cc416b2fa,chr3,6556067,6557938	-	-	1487	F-R	62	1405	1	A	F	1	61	R	1	1452
af86ae37-df7d-4917-84c6-91ef0ea05bcb,chr3,6556071,6557938	-	-	1445	F-R	54	1367	1	A	F	1	52	R	4	1411
c59dd076-2d68-4a6c-889a-2937eb6f6fc1,chr3,6556071,6556784	-	-	747	F-R	65	673	1	A	F	1	56	R	2	714
684b1188-15ba-4324-8063-6b121516305b,chr3,6556075,6556826	+	-	801	R-F	131	757	1	T	R	1	47	F	1	758
289ce97d-b7cb-4f78-b52a-bedf6765d8cd,chr3,6556088,6557938	+	-	2930	N-F	84	1440	5	T	N	-1	105	F	1	1441
1d7b4409-e0e4-4bd3-896d-763c91304dd3,chr3,6556093,6557434	+	-	997	R-UF	126	956	2	T	R	1	50	UF	2	958
26d6caf9-5377-413b-9763-83c99416679a,chr3,6556093,6557103	+	-	1200	R-F	160	1156	1	T	R	1	49	F	1	1156
5f605e87-c02e-4885-8df0-11a06f4012e5,chr3,6556093,6557934	+	-	1585	R-N	114	1545	2	T	R	2	45	N	-1	1524
7f0b9068-3300-465a-8dc1-688144458d63,chr3,6556093,6557938	+	-	1637	R-F	161	1591	1	T	R	1	49	F	1	1593
837caa8e-e982-4826-a928-bcd59d78be02,chr3,6556093,6556784	+	-	721	R-F	91	677	1	T	R	1	48	F	1	678
8e5db7e5-a620-41cb-a65b-43cbd19af74a,chr3,6556093,6556783	+	-	788	R-UF	171	746	2	T	R	1	49	UF	11	760
8e87a408-12f1-46b0-871a-5a979ef3507e,chr3,6556093,6557938	+	-	1593	R-F	125	1548	1	T	R	1	51	F	1	1550
9a935ad2-67d7-4cf2-b630-087b053d42cd,chr3,6556093,6556289	+	-	355	R-R	94	291	5	T	R	1	49	R	1	320
da338c6c-2491-44e1-96fd-f059c0ca0c56,chr3,6556093,6557938	+	-	1566	R-UF	135	1522	2	T	R	1	48	UF	6	1527
edfc6678-e66f-41c8-9e9b-79bc52fcf480,chr3,6556093,6557934	+	-	5136	R-F	3652	5091	1	T	R	1	3571	F	1	5092
1a4a433f-ec58-4f66-8b57-5b1f7e0fccdd,chr3,6556093,6557434	-	-	950	UF-N	62	892	5	A	UF	2	60	N	-1	871
2a17db59-fb18-45e3-bfc7-bdf348020aad,chr3,6556093,6557938	-	-	1573	F-R	58	1482	1	A	F	1	57	R	1	1537
4baf546e-f823-4d04-b09d-de2f281beb97,chr3,6556093,6557938	-	-	1571	N-R	59	1497	2	A	N	-1	80	R	1	1534
6d684c6a-ed1f-44a3-bd55-f0a90c1c13b6,chr3,6556093,6557935	-	-	1618	F-R	63	1500	1	A	F	1	59	R	1	1580
c141b318-5afc-4293-8cfd-1a17b0db35d6,chr3,6556093,6556744	-	-	762	N-R	100	646	2	A	N	-1	121	R	1	731
c9d5bb62-bba7-4d71-9d7a-97c69086ae1d,chr3,6556093,6557938	-	-	1603	UF-R	58	1490	2	A	UF	6	51	R	1	1568
fd5a303c-3bf5-4156-b2e3-6db9faef0fdd,chr3,6556093,6557934	-	-	2275	F-R	749	2162	1	A	F	1	740	R	1	2240
ffa03711-eeeb-4ea7-af9f-79a9b2f8039d,chr3,6556093,6557434	-	-	951	UF-R	59	867	2	A	UF	2	57	R	1	917
0d061d2e-1a61-4734-8b90-ea9ca1a023c8,chr3,6556095,6557938	-	-	1531	F-N	60	1465	5	A	F	1	59	N	0	1445
33e436b5-4ed5-40f9-9adb-4d8b74ce3805,chr3,6556095,6556361	-	-	394	UF-R	55	311	2	A	UF	15	42	R	3	369
560a6e89-c095-41d4-8e4f-3133b5842702,chr3,6556095,6556358	-	-	406	F-R	67	325	1	A	F	1	62	R	1	371
76791bed-32e2-4db8-8cdf-1a0bff53a669,chr3,6556095,6557739	-	-	1372	UF-R	56	1285	2	A	UF	2	56	R	1	1337
99e2ee96-0c6b-4548-b493-3394e556e977,chr3,6556095,6556544	-	-	581	UF-R	60	496	2	A	UF	6	55	R	1	545
1841227d-094d-4ddc-a991-6edb39d7c704,chr3,6556096,6557938	+	-	1592	R-UF	119	1549	2	T	R	1	50	UF	2	1550
3a6e7d92-dc33-4592-b05c-a4018b7f9862,chr3,6556096,6557938	+	-	1985	R-F	122	1943	1	T	R	1	51	F	1	1944
3d3b74b6-6539-4ded-b2a3-b37554fbac89,chr3,6556096,6556353	+	+	419	N-N	123	381	5	A	N	-1	144	N	-1	360
91c659d5-dc4f-450b-be85-17d732f46864,chr3,6556096,6556350	+	-	577	R-F	275	528	1	T	R	3	47	F	1	531
a0b3f4de-7d0b-4293-a1fa-6f546d941633,chr3,6556096,6556349	+	-	407	R-F	109	359	1	T	R	8	43	F	1	364
ba8e956a-e980-40e6-ae06-8c6509a18be7,chr3,6556096,6557938	+	-	1480	N-F	113	1443	5	T	N	-1	134	F	1	1444
15d58b41-8c0f-414c-8f86-fa57a98451f5,chr3,6556096,6557935	-	-	1592	F-R	64	1491	1	A	F	1	60	R	1	1564
43eb58e0-61c9-4c66-ba60-c246a1472068,chr3,6556096,6557232	-	-	1288	F-R	62	1194	1	A	F	1	61	R	1	1255
4bc341e8-a803-45af-87c1-8acff9901459,chr3,6556096,6557937	-	-	1479	UF-R	57	1398	2	A	UF	7	52	R	1	1441
6ac96c3a-8915-4768-bd84-d8bf8c774266,chr3,6556096,6557938	-	-	1466	F-R	59	1384	1	A	F	1	57	R	1	1429
7cc54791-8f25-49f8-a1d6-9d3decb9a4ab,chr3,6556096,6556289	-	-	370	R-R	99	295	5	A	R	3	50	R	1	336
7cfed81d-18ae-4fd0-8fa9-848f273000a6,chr3,6556096,6557938	-	-	1491	F-R	62	1408	1	A	F	1	60	R	1	1454
bf4e93cc-a85b-4766-8a6b-4a5d3b886842,chr3,6556096,6557232	-	-	1274	F-R	58	1176	1	A	F	1	57	R	1	1238
2546d0c5-c408-4a65-9c24-31ae03585078,chr3,6556097,6556875	-	-	884	F-R	61	823	1	A	F	1	59	R	1	849
08d88bd7-ac56-4ee1-aed3-ea3b4b92aa08,chr3,6556100,6556311	+	-	318	R-F	93	299	1	T	R	1	45	F	1	300
9cd7e36b-1392-41f6-ba32-aea2e996305c,chr3,6556100,6557290	+	-	1219	R-F	118	1175	1	T	R	1	50	F	1	1176
483bbc01-f08e-47c7-8a2f-a52f01460583,chr3,6556101,6557356	-	-	1396	UF-R	58	1309	2	A	UF	2	54	R	1	1359
53b75fdb-0776-4341-84b4-19df17cbad59,chr3,6556101,6557357	-	-	2571	F-R	1237	2477	1	A	F	1	1236	R	1	2536
ba163243-ca0a-4389-9bf2-9213e95f9e3d,chr3,6556101,6557357	-	-	1365	F-R	53	1295	1	A	F	1	52	R	1	1328
f9a7f059-5774-4155-be25-2a362cde3e39,chr3,6556101,6557357	-	-	1392	F-R	58	1308	1	A	F	1	57	R	1	1359
765efefc-2dc5-424c-854e-6419d22afc31,chr3,6556105,6556266	-	-	315	F-R	58	217	1	A	F	1	55	R	1	277
758e7602-348e-4036-9d28-47c66e8d79bd,chr3,6556162,6557938	+	-	1502	R-F	95	1455	1	T	R	3	46	F	1	1456
821ca858-dce4-4361-b658-17f3f4c728dd,chr3,6556166,6557935	-	-	1488	F-R	60	1407	1	A	F	1	57	R	1	1454
8c9a3a0e-e160-4bb1-8d37-9f668499ed2f,chr3,6556166,6557909	-	-	3368	N-R	78	1397	2	A	N	-1	99	R	1	1446
1b54e7c4-e76d-41a0-a923-fc7831843e24,chr3,6556174,6557883	-	-	1370	F-R	56	1255	1	A	F	1	55	R	1	1334
dd629992-8a66-458d-851f-453489227c0b,chr3,6556176,6557875	+	-	1369	R-F	131	1318	1	T	R	1	49	F	1	1323
2e687b26-340b-434d-a800-83f5d1adc973,chr3,6556177,6557182	+	-	1053	R-F	111	1006	1	T	R	1	52	F	1	1007
31262d25-4e29-49b1-920d-a6f30daaa0e6,chr3,6556177,6556933	+	-	946	R-UF	141	903	2	T	R	1	50	UF	4	905
7cd8ae20-ee09-4205-a8b1-f741f61cf607,chr3,6556177,6557882	+	-	1425	R-F	104	1385	1	T	R	2	37	F	1	1386
a95595f9-a843-469d-914d-edb00aaddaab,chr3,6556177,6556806	+	+	680	N-N	131	636	5	A	N	-1	152	N	-1	615
ada09da6-ddd4-4caa-8b73-f44a60d7a24c,chr3,6556177,6557938	+	-	1484	N-F	106	1444	5	T	N	-1	127	F	1	1445
f30efd73-f46d-4807-ae91-1b3c452fa256,chr3,6556177,6556931	+	-	1695	R-F	895	1648	1	T	R	1	847	F	1	1651
3ba317df-3586-42c9-a5bd-58b6cd01f224,chr3,6556177,6556806	-	-	668	F-R	57	576	1	A	F	1	56	R	1	635
69cb60a7-4896-4b97-9881-7f8550ee7254,chr3,6556177,6557828	-	-	1377	UF-R	46	1270	2	A	UF	3	56	R	3	1343
72912b7a-53ce-449f-a66a-8c47c763425f,chr3,6556177,6557182	-	-	1048	UF-R	61	955	2	A	UF	2	60	R	1	1011
88c452fb-0761-49c0-b235-48a14060eddb,chr3,6556177,6557134	-	-	1871	F-R	910	1762	1	A	F	1	913	R	1	1836
9663dd42-8ebd-476b-ab19-a422188c2e33,chr3,6556177,6556806	-	-	672	F-R	58	576	1	A	F	1	57	R	1	635
bbaf468c-b3ea-4f71-920f-f37f76ce392e,chr3,6556177,6557134	-	-	982	N-R	64	910	2	A	N	-1	85	R	1	947
3ced4c89-4a72-4710-b3f1-d40a1e0c812d,chr3,6556179,6557938	+	-	1404	R-F	110	1359	1	T	R	1	52	F	1	1361
7576fa0d-65bd-4897-b5bb-8df9fc7972d3,chr3,6556179,6556339	+	-	308	N-F	106	266	5	T	N	-1	127	F	1	267
98ad4e5b-3f2d-483e-a4b0-63ddf3169ee3,chr3,6556179,6557938	+	-	1414	R-F	125	1373	1	T	R	1	51	F	1	1375
77ff2af1-dc90-45f7-b2db-ff181f6eea11,chr3,6556179,6556335	-	-	303	UF-R	63	214	2	A	UF	2	57	R	1	270
