read_core_id	polya_start_raw	polya_end_raw	polya_start_base	polya_end_base	polya_length	polya_score	polya_type
2a7ed32c-093f-4d90-bf82-08cdd1bfd389,chr2,1645808,1646322	19155	19160	1839	1839	0.59	5.0	A
d60b75fd-effd-4de6-9d09-aba29452fdb3,chr2,6649608,6650504	815	2540	78	140	201.58	1675.0	T
3c5e5f2a-cb9f-43b5-945a-8f50b9448fec,chr2,6743656,6744815	9275	10025	944	979	85.37	750.0	T
ad25627c-1499-4787-999a-6a8cf45e673e,chr2,7995743,7997192	13965	14250	1482	1497	34.58	247.5	T
7feae721-189d-4bed-9765-f1066881141e,chr2,11547811,11548286	14400	14710	755	779	32.08	297.5	T
46a52f04-a8d7-484b-a9ea-63683f7fde91,chr2,11636389,11636785	0	0	0	0	0.0	0.0	T
e7e85c6b-9a60-43ac-ad19-68884a78061b,chr2,12380270,12380740	6315	7640	532	586	160.4	1037.5	A
9991b334-16d9-4d4e-a1c9-4c74dfeb0c13,chr2,13256223,13256821	1015	1020	53	53	0.47	5.0	T
21c68b76-3369-457e-bad0-84710ce6e02f,chr2,13524244,13528480	42410	42420	5157	5157	1.31	10.0	A
a995f6b3-063c-4f4c-a1ef-9e36f4c3c2de,chr2,13867072,13868921	12750	12760	1144	1144	1.07	10.0	A
514c060b-2e44-4a5f-b2dd-4ebec1483c64,chr2,14194113,14195559	14295	15610	1431	1450	152.32	1240.0	T
a280fe97-6603-4fb3-af3d-81fcab577de9,chr2,14203600,14204570	13785	14210	1287	1350	48.64	412.5	T
cbae53ee-10a0-4098-9ff2-98a68e948cf4,chr2,15279145,15280564	12020	12250	1314	1317	31.87	192.5	T
97d96fd0-2992-4527-81f1-a63f8f5f341e,chr2,15944776,15946510	26045	26090	2306	2307	4.55	45.0	A
466a3d02-979b-4fd7-82ef-9dbe1266d5bd,chr2,16085055,16086161	27555	27890	2544	2584	35.33	160.0	A
ab67ac95-a73e-4105-811b-70d7bac2f6de,chr2,16578846,16581115	31800	33715	2848	2875	196.05	1915.0	A
cf736468-14ae-4a31-af29-b3fcf4c9d528,chr2,16785209,16786184	19230	19250	1923	1924	2.37	20.0	A
d6a7d3ff-a2c8-4411-8433-5ceff9f76b11,chr2,17476387,17476893	11190	11235	1297	1305	5.76	45.0	A
d114cac6-1791-4d3f-8605-3e5ed3128eaf,chr2,17945774,17946250	0	0	0	0	0.0	0.0	A
0fdc3277-20f8-49da-a389-27cccc90bf60,chr2,17946180,17946323	5425	5435	500	500	1.2	10.0	A
616cd522-964b-44d0-b183-35030740c07d,chr2,17948260,17948677	0	0	0	0	0.0	0.0	T
1c578393-5ebb-4952-bad1-effa97858b8e,chr2,17962764,17963722	8250	8400	732	755	16.73	150.0	A
04e02ad1-be99-4b3d-9c1d-028f801796ce,chr2,18132677,18133970	18075	18450	1483	1494	40.86	375.0	T
cdadbb91-cf70-472e-bd82-91094f9783c9,chr2,18138377,18140994	20490	20610	1852	1870	13.42	120.0	A
3db731de-4e99-4179-ae9f-28a75f895184,chr2,18258613,18261435	27685	28600	2602	2659	99.61	765.0	T
8670e6a2-76f4-4328-b869-afa1b89b9469,chr2,18911197,18911914	14745	14860	1311	1329	11.79	115.0	A
88c57f29-124b-4bc8-a8b2-d5fe9b66dcbc,chr3,362307,363266	1560	2135	77	144	44.29	575.0	T
c3187973-c607-4281-a1a0-d0e62eb91be1,chr3,3727275,3727687	7490	7615	676	696	13.4	125.0	A
d046f2d8-c2b4-4794-afd9-a9ffcdb911ff,chr3,3727275,3727687	1295	1650	76	83	35.67	355.0	T
289ce97d-b7cb-4f78-b52a-bedf6765d8cd,chr3,4143758,4145684	20780	20815	1500	1502	3.43	35.0	T
7aa056a7-0da5-4809-be81-ccdc46e387c9,chr3,6466073,6466422	0	0	0	0	0.0	0.0	T
6d631096-21bd-4514-9984-dc53a1e3e8b8,chr3,6474912,6477116	18725	19705	1661	1672	99.43	980.0	A
98c8049d-86f3-49f8-8a44-7d4b8930c48f,chr3,6475936,6482518	8325	8505	757	765	19.61	80.0	T
a08da745-eccd-4da9-a92b-1888d3730d70,chr3,6488865,6488965	1395	1870	74	99	45.18	462.5	T
2bc680f1-f58f-4051-812c-2cdf182ef67e,chr3,6488865,6488965	5360	5385	499	500	2.77	25.0	A
afd9dedb-bb61-4adc-b772-a6950aaa9c64,chr3,6488865,6488965	6140	6310	494	522	17.75	170.0	A
a14f75ba-01a2-4b38-ba1b-3ea19bf7e746,chr3,6509584,6510647	18910	20950	773	789	100.15	2040.0	A
d60b75fd-effd-4de6-9d09-aba29452fdb3,chr3,6546116,6557938	815	870	78	81	6.43	55.0	T
2ac55287-b90d-4bc5-be1f-8c6200381397,chr3,6546116,6557938	16635	16655	1383	1386	2.24	20.0	A
653223ae-a156-4dcd-be8c-bea5eb5aaab5,chr3,6546116,6557938	14965	15010	1395	1398	5.38	32.5	A
947a0a98-4503-4e3d-bf17-3cb8c68fd540,chr3,6546116,6557937	16065	16085	1382	1385	2.06	20.0	A
eb756bfa-6d52-4d29-b0ed-45e74f2d243a,chr3,6546116,6557933	11325	11345	1380	1383	2.56	20.0	A
ee240e53-43a3-4170-906e-55b46c7dff78,chr3,6546119,6556289	2435	2555	79	85	12.63	120.0	T
efe8657f-9b1e-4158-8b4e-d70c8839a169,chr3,6547965,6557938	1685	2005	72	106	35.47	282.5	T
40535c78-5bb0-467f-8051-1ec956e77ee1,chr3,6552010,6564419	1135	1180	72	74	5.2	45.0	T
877fb5fc-24fd-40d7-ab22-2c6ae1212ea9,chr3,6552010,6564419	1665	1710	73	75	4.61	45.0	T
5b1f5488-724c-4da6-84e8-106c1eb1eaab,chr3,6552010,6564419	6435	6450	529	531	1.61	15.0	A
b2091371-53b3-4c1e-b1a1-48b1ea116057,chr3,6552010,6564419	10650	11010	520	524	30.46	360.0	A
50409d5f-7a20-4f31-b115-c94426bfb22d,chr3,6552011,6557938	5190	5515	438	441	32.4	325.0	T
a2125681-fafb-4df2-8a71-0d99506e844f,chr3,6553468,6557938	995	1270	78	103	33.45	275.0	T
c618ca54-9ff1-4db9-bc2a-0fa9b4c54923,chr3,6553468,6557928	0	0	0	0	0.0	0.0	A
ef7045da-232d-4286-8b66-16a08f85aa7e,chr3,6553541,6554178	16585	16715	1384	1403	14.26	130.0	A
97d96fd0-2992-4527-81f1-a63f8f5f341e,chr3,6553559,6564419	1110	1115	55	55	0.51	5.0	T
6ba3fdd5-cb91-431f-8e9c-6e30dadbba58,chr3,6554748,6564419	0	0	0	0	0.0	0.0	A
82718f67-0bf4-4428-b0af-633a7dcf3f2a,chr3,6554748,6557938	0	0	0	0	0.0	0.0	A
e2307c76-85fc-4e37-b63e-a56ad74c4502,chr3,6554748,6564424	0	0	0	0	0.0	0.0	A
1833bf70-40a4-4dae-aebc-686a51cc149d,chr3,6555032,6557938	30200	30300	2447	2461	9.78	100.0	A
c6cf7533-5a81-488d-bb60-4a52210a9ee6,chr3,6555032,6557936	28985	29145	2448	2470	16.31	160.0	A
ac4fcdce-e475-49a4-b82b-935f736caf1d,chr3,6555444,6556664	6775	6805	524	526	2.91	30.0	A
3db731de-4e99-4179-ae9f-28a75f895184,chr3,6555496,6557923	1035	2290	79	135	136.63	1230.0	T
640711b4-03cd-445f-b04e-2ae841140bd0,chr3,6555496,6556275	9655	9790	820	837	15.58	135.0	A
aecd9c92-01d7-4364-8f27-958cbcd2cdb8,chr3,6555496,6556275	9575	9915	861	863	37.01	340.0	A
320512ff-8639-4731-8ca0-ea632f605ec6,chr3,6555503,6557938	990	1325	75	113	37.53	335.0	T
92185214-ca73-4b84-8d28-4493aff194f0,chr3,6555503,6557948	0	0	0	0	0.0	0.0	T
c4df050f-7685-46c2-ab81-21fbf2a44edb,chr3,6555503,6557938	1000	1195	75	93	20.68	195.0	T
00d322d1-a997-4bfb-bc7d-9b50fe4b6319,chr3,6555503,6557934	21305	21430	1974	1993	13.6	125.0	A
c4d3fa0f-f1f8-4e2d-b9d1-d954cfd646ba,chr3,6555503,6557938	22070	22180	1969	1987	11.2	110.0	A
c4eae37c-dd98-4b64-9179-384125814624,chr3,6555503,6557938	21915	22060	1977	2000	15.41	145.0	A
a63832a2-3e57-4c55-a846-9a6045595e30,chr3,6555506,6557938	845	1210	76	118	40.45	365.0	T
cb387a9b-bab0-43d4-a6be-2ba38375c62b,chr3,6555527,6557938	1060	1505	79	141	44.81	445.0	T
416bf19b-03b9-48c5-abce-8ca8d60aa398,chr3,6555585,6557918	1570	2655	76	98	119.21	1022.5	T
693cf6a9-252b-48ed-ac47-a014f5e7befd,chr3,6555913,6556317	0	0	0	0	0.0	0.0	T
8e864ca2-d907-47dc-ab04-257cfcd0a3b8,chr3,6555919,6556354	1020	1525	76	84	56.94	505.0	T
6f86b453-18ba-46c0-aa89-9bd4b8470153,chr3,6555921,6557880	880	1150	73	100	30.75	270.0	T
fd1e7428-9ca3-4f6a-94f2-9c696f25398b,chr3,6555926,6556354	880	1055	73	91	22.49	175.0	T
0234b07e-392a-4b9e-a137-3e676d7bc8bb,chr3,6555930,6557883	16630	16755	1614	1634	13.84	125.0	A
5349f247-cccf-4aa8-a530-cf9127b3f2b6,chr3,6555930,6557885	15125	15265	1487	1509	15.78	140.0	A
31520bd7-79a2-4f2a-a1b5-437c840bc724,chr3,6555939,6557938	1335	2150	78	103	83.46	752.5	T
849983a1-3225-4328-a977-606b699a1e8f,chr3,6555939,6557938	1330	2035	77	94	71.62	655.0	T
50e358c0-8663-4528-9048-7e8a1a03fce6,chr3,6555939,6557937	14675	15310	1542	1584	73.03	622.5	A
b7b672a3-1769-42d1-9d26-0ca23018d2cd,chr3,6555939,6557938	0	0	0	0	0.0	0.0	A
de8154b7-db83-43de-a8d1-fe689d52371a,chr3,6555939,6557938	0	0	0	0	0.0	0.0	A
83ec5f37-4b1d-453f-abcc-d288604c3c46,chr3,6555942,6557935	15700	15825	1937	1959	17.93	125.0	A
684a21bf-aedb-4d31-b9e4-09e0a8985fb1,chr3,6555944,6557815	5510	5675	583	612	20.49	165.0	A
ed20127a-43b1-4c35-acf7-0061cf5c54d5,chr3,6555944,6556621	10855	11025	729	754	15.05	170.0	A
756611f1-0652-48e1-a38c-54a5a36d0194,chr3,6555950,6557938	1240	1510	77	100	32.88	270.0	T
09d4660e-012a-4425-8479-d2814387780b,chr3,6555964,6556353	0	0	0	0	0.0	0.0	T
8b2c8f3d-7c7e-47a0-ada1-41fa3d7abb37,chr3,6555964,6556353	9050	10420	849	852	157.63	1370.0	T
56d0834d-40fb-4a8b-83f3-d42904e54212,chr3,6556001,6557935	17365	17535	1582	1608	18.65	170.0	A
d035cca9-da8b-4a61-9830-903d4514a519,chr3,6556001,6557938	16510	16775	1591	1600	29.31	265.0	A
d77bceb7-449f-4f50-8809-f21a5a4df8ee,chr3,6556031,6556859	835	1930	79	193	121.34	1007.5	T
9eab4e20-938c-480d-aed6-f152f90ebe34,chr3,6556031,6556859	8420	9005	768	806	64.95	585.0	A
d2c3b618-f445-4a4e-98a6-c3b0815e6bd2,chr3,6556031,6556859	9030	9650	763	801	63.36	620.0	A
c3187973-c607-4281-a1a0-d0e62eb91be1,chr3,6556044,6556231	7490	7615	676	696	13.4	125.0	A
d046f2d8-c2b4-4794-afd9-a9ffcdb911ff,chr3,6556046,6556231	1295	1650	76	83	35.67	355.0	T
77a1d06a-fd94-48a5-897e-60e609a98da7,chr3,6556062,6557937	15660	16420	1539	1597	87.06	735.0	A
518bda6c-8888-4336-8d6a-9d67fe10f10b,chr3,6556063,6556790	0	0	0	0	0.0	0.0	T
a8612e60-b556-4d04-9144-657f89dc1a99,chr3,6556064,6557938	1480	2235	76	155	87.6	717.5	T
0357479a-29db-413b-be23-75f6db75cd0e,chr3,6556064,6557937	16295	17345	1336	1383	100.87	1000.0	A
4c8ac4b8-a4b4-433c-8b36-ff78925a9187,chr3,6556065,6557106	2270	2565	81	131	32.82	295.0	T
fdaa17a3-7b8d-4ac4-b886-73e6b67d183f,chr3,6556065,6557105	21570	21970	1957	1978	42.65	400.0	A
47e419ce-cfa0-40b2-a827-72b38ebd27f4,chr3,6556067,6557938	2615	4240	72	95	191.89	1575.0	T
537fb009-279f-4812-8378-6c8cc416b2fa,chr3,6556067,6557938	14870	16770	1404	1425	205.35	1900.0	A
af86ae37-df7d-4917-84c6-91ef0ea05bcb,chr3,6556071,6557938	13515	15235	1371	1377	204.24	1720.0	A
c59dd076-2d68-4a6c-889a-2937eb6f6fc1,chr3,6556071,6556784	8605	10505	680	688	208.17	1900.0	A
684b1188-15ba-4324-8063-6b121516305b,chr3,6556075,6556826	1250	2245	77	132	125.48	970.0	T
289ce97d-b7cb-4f78-b52a-bedf6765d8cd,chr3,6556088,6557938	0	0	0	0	0.0	0.0	T
1d7b4409-e0e4-4bd3-896d-763c91304dd3,chr3,6556093,6557434	1370	1695	77	127	36.33	325.0	T
26d6caf9-5377-413b-9763-83c99416679a,chr3,6556093,6557103	1245	1890	76	165	73.18	582.5	T
5f605e87-c02e-4885-8df0-11a06f4012e5,chr3,6556093,6557934	765	1055	71	115	37.0	277.5	T
7f0b9068-3300-465a-8dc1-688144458d63,chr3,6556093,6557938	1765	2490	78	166	80.93	637.5	T
837caa8e-e982-4826-a928-bcd59d78be02,chr3,6556093,6556784	850	1940	62	96	113.65	915.0	T
8e5db7e5-a620-41cb-a65b-43cbd19af74a,chr3,6556093,6556783	1130	1980	65	172	109.92	725.0	T
8e87a408-12f1-46b0-871a-5a979ef3507e,chr3,6556093,6557938	1065	1590	74	126	66.73	475.0	T
9a935ad2-67d7-4cf2-b630-087b053d42cd,chr3,6556093,6556289	1620	3160	76	99	181.27	1502.5	T
da338c6c-2491-44e1-96fd-f059c0ca0c56,chr3,6556093,6557938	770	2010	75	140	142.73	1152.5	T
edfc6678-e66f-41c8-9e9b-79bc52fcf480,chr3,6556093,6557934	36855	37380	3589	3657	58.53	425.0	T
1a4a433f-ec58-4f66-8b57-5b1f7e0fccdd,chr3,6556093,6557434	0	0	0	0	0.0	0.0	A
2a17db59-fb18-45e3-bfc7-bdf348020aad,chr3,6556093,6557938	14840	15630	1481	1486	88.99	790.0	A
4baf546e-f823-4d04-b09d-de2f281beb97,chr3,6556093,6557938	17710	19805	1492	1509	209.64	1982.5	A
6d684c6a-ed1f-44a3-bd55-f0a90c1c13b6,chr3,6556093,6557935	16305	16675	1499	1552	41.51	207.5	A
c141b318-5afc-4293-8cfd-1a17b0db35d6,chr3,6556093,6556744	8600	9260	641	704	73.98	647.5	A
c9d5bb62-bba7-4d71-9d7a-97c69086ae1d,chr3,6556093,6557938	14315	14795	1485	1541	56.4	217.5	A
fd5a303c-3bf5-4156-b2e3-6db9faef0fdd,chr3,6556093,6557934	23895	24950	2178	2214	116.49	1030.0	A
ffa03711-eeeb-4ea7-af9f-79a9b2f8039d,chr3,6556093,6557434	9070	9225	866	892	18.89	155.0	A
0d061d2e-1a61-4734-8b90-ea9ca1a023c8,chr3,6556095,6557938	0	0	0	0	0.0	0.0	A
33e436b5-4ed5-40f9-9adb-4d8b74ce3805,chr3,6556095,6556361	3735	3915	313	342	18.71	180.0	A
560a6e89-c095-41d4-8e4f-3133b5842702,chr3,6556095,6556358	3910	4030	327	345	12.48	120.0	A
76791bed-32e2-4db8-8cdf-1a0bff53a669,chr3,6556095,6557739	13270	13410	1287	1310	15.36	140.0	A
99e2ee96-0c6b-4548-b493-3394e556e977,chr3,6556095,6556544	5655	5805	498	520	16.74	150.0	A
1841227d-094d-4ddc-a991-6edb39d7c704,chr3,6556096,6557938	1060	1330	86	121	39.61	245.0	T
3a6e7d92-dc33-4592-b05c-a4018b7f9862,chr3,6556096,6557938	1090	1445	78	124	39.9	355.0	T
3d3b74b6-6539-4ded-b2a3-b37554fbac89,chr3,6556096,6556353	0	0	0	0	0.0	0.0	A
91c659d5-dc4f-450b-be85-17d732f46864,chr3,6556096,6556350	1095	2435	75	277	204.33	1290.0	T
a0b3f4de-7d0b-4293-a1fa-6f546d941633,chr3,6556096,6556349	750	2210	79	112	180.08	1385.0	T
ba8e956a-e980-40e6-ae06-8c6509a18be7,chr3,6556096,6557938	0	0	0	0	0.0	0.0	T
15d58b41-8c0f-414c-8f86-fa57a98451f5,chr3,6556096,6557935	16400	17585	1489	1537	119.55	1147.5	A
43eb58e0-61c9-4c66-ba60-c246a1472068,chr3,6556096,6557232	15000	15490	1192	1229	50.33	340.0	A
4bc341e8-a803-45af-87c1-8acff9901459,chr3,6556096,6557937	15725	15870	1396	1415	14.69	145.0	A
6ac96c3a-8915-4768-bd84-d8bf8c774266,chr3,6556096,6557938	14435	14575	1382	1403	15.22	140.0	A
7cc54791-8f25-49f8-a1d6-9d3decb9a4ab,chr3,6556096,6556289	3430	5040	293	308	155.72	1585.0	A
7cfed81d-18ae-4fd0-8fa9-848f273000a6,chr3,6556096,6557938	14080	14210	1406	1428	14.57	130.0	A
bf4e93cc-a85b-4766-8a6b-4a5d3b886842,chr3,6556096,6557232	10480	10725	1174	1209	30.45	207.5	A
2546d0c5-c408-4a65-9c24-31ae03585078,chr3,6556097,6556875	14010	16225	822	824	172.95	2215.0	A
08d88bd7-ac56-4ee1-aed3-ea3b4b92aa08,chr3,6556100,6556311	1055	1460	72	89	50.46	405.0	T
9cd7e36b-1392-41f6-ba32-aea2e996305c,chr3,6556100,6557290	2520	2810	76	112	36.55	252.5	T
483bbc01-f08e-47c7-8a2f-a52f01460583,chr3,6556101,6557356	15030	15150	1312	1332	12.18	120.0	A
53b75fdb-0776-4341-84b4-19df17cbad59,chr3,6556101,6557357	22300	22475	2480	2510	21.7	175.0	A
ba163243-ca0a-4389-9bf2-9213e95f9e3d,chr3,6556101,6557357	22245	22325	1327	1328	5.68	80.0	A
f9a7f059-5774-4155-be25-2a362cde3e39,chr3,6556101,6557357	15110	15285	1311	1333	17.86	175.0	A
765efefc-2dc5-424c-854e-6419d22afc31,chr3,6556105,6556266	3900	4070	220	250	17.64	170.0	A
758e7602-348e-4036-9d28-47c66e8d79bd,chr3,6556162,6557938	1595	1900	71	96	34.85	305.0	T
821ca858-dce4-4361-b658-17f3f4c728dd,chr3,6556166,6557935	17905	18020	1409	1427	12.34	115.0	A
8c9a3a0e-e160-4bb1-8d37-9f668499ed2f,chr3,6556166,6557909	14030	14165	1399	1421	16.19	135.0	A
1b54e7c4-e76d-41a0-a923-fc7831843e24,chr3,6556174,6557883	12940	13850	1255	1307	100.53	910.0	A
dd629992-8a66-458d-851f-453489227c0b,chr3,6556176,6557875	3060	3760	76	129	78.09	687.5	T
2e687b26-340b-434d-a800-83f5d1adc973,chr3,6556177,6557182	1530	1895	77	112	38.23	365.0	T
31262d25-4e29-49b1-920d-a6f30daaa0e6,chr3,6556177,6556933	870	1235	78	138	40.55	365.0	T
7cd8ae20-ee09-4205-a8b1-f741f61cf607,chr3,6556177,6557882	3430	3990	66	113	50.66	460.0	T
a95595f9-a843-469d-914d-edb00aaddaab,chr3,6556177,6556806	0	0	0	0	0.0	0.0	A
ada09da6-ddd4-4caa-8b73-f44a60d7a24c,chr3,6556177,6557938	0	0	0	0	0.0	0.0	T
f30efd73-f46d-4807-ae91-1b3c452fa256,chr3,6556177,6556931	8985	9275	875	892	32.42	290.0	T
3ba317df-3586-42c9-a5bd-58b6cd01f224,chr3,6556177,6556806	5840	6080	575	608	26.98	140.0	A
69cb60a7-4896-4b97-9881-7f8550ee7254,chr3,6556177,6557828	12915	13595	1269	1315	77.75	667.5	A
72912b7a-53ce-449f-a66a-8c47c763425f,chr3,6556177,6557182	9945	10320	954	983	42.54	375.0	A
88c452fb-0761-49c0-b235-48a14060eddb,chr3,6556177,6557134	26695	27695	1758	1811	87.23	987.5	A
9663dd42-8ebd-476b-ab19-a422188c2e33,chr3,6556177,6556806	6010	6255	575	608	26.43	157.5	A
bbaf468c-b3ea-4f71-920f-f37f76ce392e,chr3,6556177,6557134	10470	11255	909	923	80.25	785.0	A
3ced4c89-4a72-4710-b3f1-d40a1e0c812d,chr3,6556179,6557938	2155	2380	79	108	25.47	225.0	T
7576fa0d-65bd-4897-b5bb-8df9fc7972d3,chr3,6556179,6556339	0	0	0	0	0.0	0.0	T
98ad4e5b-3f2d-483e-a4b0-63ddf3169ee3,chr3,6556179,6557938	1095	1390	79	123	35.23	295.0	T
77ff2af1-dc90-45f7-b2db-ff181f6eea11,chr3,6556179,6556335	2585	2755	216	244	17.64	170.0	A
d415d694-ab8c-4a66-9fb5-d7797e3c615a,chr3,6556179,6557938	14985	15115	1313	1334	13.23	130.0	A
59bdfe9f-38cc-4b2c-ade1-a96060439d8f,chr3,6556180,6557938	16450	16620	1411	1434	18.18	170.0	A
0b784f78-3b66-4643-add4-c609ead83791,chr3,6556183,6556289	2840	3855	214	244	118.83	1015.0	A
ac474cd4-19ed-47be-834b-10cb0d9d570a,chr3,6556183,6557121	9960	10785	875	930	94.19	825.0	A
45975731-42d8-424c-8b19-4ab940e32e7c,chr3,6556184,6557910	0	0	0	0	0.0	0.0	T
616cd522-964b-44d0-b183-35030740c07d,chr3,6556184,6556502	5755	6050	510	550	32.06	295.0	T
64bdf83d-e5f0-4b7b-9a8d-f0619493f5a1,chr3,6556184,6556784	0	0	0	0	0.0	0.0	T
8f5eece2-e3f2-4d4a-8a87-acdd734b06cc,chr3,6556184,6556497	1840	2060	75	101	30.22	220.0	T
939825b4-25ce-4917-bac0-4de52725795d,chr3,6556184,6556502	1295	1620	76	120	40.69	312.5	T
daa9bacb-b051-49e2-9620-f7805ecc8d89,chr3,6556184,6556289	745	2025	73	162	168.92	1267.5	T
50586a9f-4415-4106-8673-4db7d5756f85,chr3,6556184,6557937	14175	14310	1281	1303	15.11	135.0	A
5c20a4ef-bc05-4a68-966f-41c32163bdfc,chr3,6556184,6557938	13980	14570	1295	1308	65.6	590.0	A
63272295-e739-48ee-b016-0f5d0e7e83be,chr3,6556184,6557935	15410	15560	1291	1315	15.91	150.0	A
d62ed0e5-3cf5-4482-9b45-bf443c0d4cf7,chr3,6556184,6556497	3560	3680	359	375	14.65	120.0	A
4478b278-53bd-4ac9-a0d4-690ba1d700ee,chr3,6556185,6557910	18470	19825	1665	1694	140.79	1355.0	A
6bbce77b-ad28-49d3-aaf1-64950c10fec8,chr3,6556185,6557938	19345	19470	1806	1826	13.44	125.0	A
ef037bf9-dd6b-46da-8065-a57ee5d16a8c,chr3,6556185,6557938	18430	18800	1791	1811	41.39	370.0	A
9a90f33a-db2d-44cb-a7dd-bde00e65157e,chr3,6556188,6556802	0	0	0	0	0.0	0.0	A
163e1c51-e452-45bc-888a-e0d9f25248ee,chr3,6556189,6557938	1040	1355	81	111	34.68	315.0	T
5bf8e517-4ad9-44cc-9e35-393eaeb8de8d,chr3,6556189,6556784	1075	1490	66	116	46.7	340.0	T
cd89d53a-3dab-41aa-8584-4ae499106f13,chr3,6556189,6556784	0	0	0	0	0.0	0.0	A
35bfbf79-274a-4e92-b13e-c276f0378b79,chr3,6556192,6556784	5525	5665	544	565	15.41	140.0	A
5657559d-455e-40d5-9f8f-3f1ca57a5205,chr3,6556193,6557938	1945	2155	79	95	10.62	210.0	T
5183fe20-8e12-42c3-b01d-32b5b82d4197,chr3,6556193,6556784	4725	4830	531	550	14.3	105.0	A
9aedd78e-fd18-457b-b921-a865f6ca4788,chr3,6556193,6557938	15910	16020	1385	1402	11.44	110.0	A
0011c0a0-0db1-4da2-8e06-00e92111005f,chr3,6556194,6557938	575	710	71	81	11.93	135.0	T
cc2568bf-4023-42d3-9e72-b8fbf62c24eb,chr3,6556194,6556880	7605	9260	730	743	190.76	1655.0	T
9f0ec713-1499-4df2-87c5-f256995bf6d8,chr3,6556194,6557934	21370	23360	878	882	121.99	1990.0	A
8b50aa30-2df2-4ca3-bed6-8a477e4caad8,chr3,6556195,6557938	1140	2510	76	80	165.25	1370.0	T
1c808b68-0024-4e14-84c9-0208214e5845,chr3,6556195,6556881	10170	11165	640	665	102.35	995.0	A
ebbc3d3c-6c09-47d4-b827-1fd0bb5a3b12,chr3,6556196,6557932	0	0	0	0	0.0	0.0	A
0239ed7f-c1ef-49a4-bf56-4b315dcebf16,chr3,6556197,6557938	1210	2260	73	144	129.78	912.5	T
166fe504-bca2-4a94-9978-097e538bbd84,chr3,6556197,6557938	1530	2220	74	134	74.52	652.5	T
1f78d9d5-8bd1-49a6-b1b4-05393906a9d3,chr3,6556197,6557878	1570	1960	75	119	44.07	377.5	T
21c68b76-3369-457e-bad0-84710ce6e02f,chr3,6556197,6557938	1165	1515	75	119	45.79	312.5	T
25619bfa-7250-473f-a0a3-3ff13b0827f6,chr3,6556197,6557312	840	1080	77	114	30.67	227.5	T
26385c94-fa9a-4183-9b18-5364cfc22be5,chr3,6556197,6557865	1865	2190	78	104	35.17	275.0	T
29d7ec05-5bc4-4ca3-ba03-92f56c704a8d,chr3,6556197,6557139	1705	2060	81	141	40.37	342.5	T
30cf0869-7b9a-465d-aa40-6bf821666905,chr3,6556197,6557875	755	1915	74	122	135.49	1135.0	T
311f0669-6d3c-4c02-a468-e003fdaeaf9a,chr3,6556197,6557904	1540	2730	74	83	127.74	1165.0	T
376a3da0-c06c-4011-9e05-06b88058bbf7,chr3,6556197,6556675	1475	1815	75	118	38.34	327.5	T
3ed43798-349b-4d7c-8574-48e87faab478,chr3,6556197,6557517	995	2355	73	90	162.29	1347.5	T
